ID	Age	Gender	Nationality	Handedness	computerType	userAgent	ipAddress	colorDepth	completionCode	initialTimeStamp	finalTimeStamp	ishiharaScore	amountPaid
21	18	Male	United States	Right-handed	Laptop	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36	130.91.120.152	24	NULL	2014-06-26 15:21:02	0000-00-00 00:00:00	0/8	NULL
24	62	Female	United States	Right-handed	LCD Desktop	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.59.10 (KHTML, like Gecko) Version/5.1.9 Safari/534.59.10	74.79.141.147	24	NULL	2014-06-27 17:03:55	0000-00-00 00:00:00	7/8	NULL
23	24	Female	United States	Right-handed	Laptop	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36	98.194.157.153	24	NULL	2014-06-27 17:03:17	0000-00-00 00:00:00	8/8	NULL
25	61	Female	United States	Right-handed	LCD Desktop	Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36	97.118.45.226	24	NULL	2014-06-27 17:04:03	0000-00-00 00:00:00	8/8	NULL
26	24	Female	United States	Right-handed	Laptop	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36	98.194.157.153	24	1255608795	2014-06-27 17:05:07	2014-06-27 17:23:06	8/8	NULL
27	35	Female	United States	Right-handed	Laptop	Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/34.0.1847.116 Chrome/34.0.1847.116 Safari/537.36	173.239.80.247	24	1092028815	2014-06-27 17:06:10	2014-06-27 17:45:12	8/8	NULL
28	61	Female	United States	Right-handed	LCD Desktop	Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36	97.118.45.226	24	NULL	2014-06-27 17:07:49	0000-00-00 00:00:00	8/8	NULL
29	35	Female	United States	Right-handed	Laptop	Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/34.0.1847.116 Chrome/34.0.1847.116 Safari/537.36	173.239.80.247	24	NULL	2014-06-27 17:09:09	0000-00-00 00:00:00	8/8	NULL
30	31	Female	United States	Right-handed	Laptop	Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36	98.168.155.71	24	NULL	2014-06-27 17:18:09	0000-00-00 00:00:00	8/8	NULL
31	30	Female	United States	Right-handed	Laptop	Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36	71.47.127.52	24	1318809578	2014-06-27 17:21:55	2014-06-27 18:39:48	8/8	NULL
32	52	Male	United States	Right-handed	Laptop	Mozilla/5.0 (Windows NT 6.3; WOW64; rv:30.0) Gecko/20100101 Firefox/30.0	67.166.13.130	24	NULL	2014-06-27 17:30:05	0000-00-00 00:00:00	8/8	NULL
33	28	Male	United States	Right-handed	Laptop	Mozilla/5.0 (Windows NT 6.2; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0	65.31.54.243	24	1038835857	2014-06-27 17:52:51	2014-06-27 18:42:07	8/8	NULL
34	33	Female	United States	Right-handed	Laptop	Mozilla/5.0 (Windows NT 6.1; WOW64; rv:30.0) Gecko/20100101 Firefox/30.0	71.87.95.236	24	NULL	2014-06-27 18:06:40	0000-00-00 00:00:00	5/8	NULL
35	33	Female	United States	Right-handed	Laptop	Mozilla/5.0 (Windows NT 6.1; WOW64; rv:30.0) Gecko/20100101 Firefox/30.0	71.87.95.236	24	1215383897	2014-06-27 18:10:28	2014-06-27 18:42:47	8/8	NULL
36	18	Male	United States	Right-handed	LCD Desktop	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.76.4 (KHTML, like Gecko) Version/7.0.4 Safari/537.76.4	130.91.120.140	24	NULL	2014-07-02 11:10:49	0000-00-00 00:00:00	1/8	NULL
39	28	Male	United States	Right-handed	Laptop	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36	24.211.160.242	24	NULL	2014-07-02 15:18:31	0000-00-00 00:00:00	8/8	NULL
38	26	Male	India	Right-handed	LCD Desktop	Mozilla/5.0 (Windows NT 5.1; rv:30.0) Gecko/20100101 Firefox/30.0	115.241.62.160	24	NULL	2014-07-02 15:18:10	0000-00-00 00:00:00	8/8	NULL
40	26	Male	United States	Right-handed	LCD Desktop	Mozilla/5.0 (Windows NT 6.1; WOW64; rv:30.0) Gecko/20100101 Firefox/30.0	68.40.33.78	24	NULL	2014-07-02 15:21:35	0000-00-00 00:00:00	8/8	NULL
41	32	Male	United States	Left-handed	Laptop	Mozilla/5.0 (Windows NT 5.1; rv:30.0) Gecko/20100101 Firefox/30.0	107.146.96.249	24	NULL	2014-07-02 15:51:52	0000-00-00 00:00:00	7/8	NULL
42	25	Male	United States	Left-handed	LCD Desktop	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36	96.40.131.61	24	NULL	2014-07-02 15:54:25	0000-00-00 00:00:00	NULL	NULL
43	36	Female	United States	Right-handed	Laptop	Mozilla/5.0 (Windows NT 6.1; WOW64; rv:30.0) Gecko/20100101 Firefox/30.0	65.31.50.148	24	NULL	2014-07-02 15:59:26	0000-00-00 00:00:00	NULL	NULL
44	31	Female	United States	Right-handed	Laptop	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36	75.182.0.152	24	1004631336	2014-07-02 16:03:07	2014-07-02 16:52:22	8/8	NULL
45	32	Male	United States	Left-handed	Laptop	Mozilla/5.0 (Windows NT 5.1; rv:30.0) Gecko/20100101 Firefox/30.0	107.146.96.249	24	NULL	2014-07-02 16:15:27	0000-00-00 00:00:00	8/8	NULL
46	26	Female	United States	Right-handed	LCD Desktop	Mozilla/5.0 (Windows NT 6.1; WOW64; rv:30.0) Gecko/20100101 Firefox/30.0	98.250.164.112	24	NULL	2014-07-02 16:50:30	0000-00-00 00:00:00	NULL	NULL
47	23	Female	United States	Right-handed	Laptop	Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:12.0) Gecko/20100101 Firefox/12.0	108.32.58.21	24	1245527274	2014-07-02 16:52:46	2014-07-02 17:37:19	8/8	NULL
48	44	Female	United States	Right-handed	LCD Desktop	Mozilla/5.0 (Windows NT 6.1; WOW64; rv:30.0) Gecko/20100101 Firefox/30.0	184.39.166.73	24	NULL	2014-07-02 17:17:30	0000-00-00 00:00:00	NULL	NULL
49	25	Male	India	Right-handed	CRT Desktop	Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.18) Gecko/20110614 Firefox/3.6.18	116.202.157.117	24	NULL	2014-07-02 17:19:29	0000-00-00 00:00:00	8/8	NULL
50	25	Male	India	Right-handed	CRT Desktop	Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.116 Safari/537.36	116.202.157.117	24	NULL	2014-07-02 17:40:44	0000-00-00 00:00:00	NULL	NULL
51	38	Female	United States	Right-handed	Laptop	Mozilla/5.0 (Windows NT 6.1; WOW64; rv:30.0) Gecko/20100101 Firefox/30.0	67.0.138.253	24	NULL	2014-07-02 18:25:50	0000-00-00 00:00:00	7/8	NULL
52	38	Female	United States	Right-handed	Laptop	Mozilla/5.0 (Windows NT 6.1; WOW64; rv:30.0) Gecko/20100101 Firefox/30.0	67.0.138.253	24	1137272558	2014-07-02 18:29:23	2014-07-02 18:56:31	8/8	NULL
53	18	Male	United States	Right-handed	Laptop	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36	130.91.121.171	24	NULL	2014-07-02 18:52:30	0000-00-00 00:00:00	0/8	NULL
54	18	Male	United States	Right-handed	Laptop	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.76.4 (KHTML, like Gecko) Version/7.0.4 Safari/537.76.4	130.91.121.171	24	NULL	2014-07-02 18:55:11	0000-00-00 00:00:00	NULL	NULL
55	18	Male	United States	Right-handed	Laptop	Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:23.0) Gecko/20100101 Firefox/23.0	130.91.121.171	24	NULL	2014-07-02 18:56:17	0000-00-00 00:00:00	0/8	NULL
56	20	F	US	L	Laptop	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.76.4 (KHTML, like Gecko) Version/7.0.4 Safari/537.76.4	130.91.121.171	NULL	NULL	2014-07-02 19:00:56	0000-00-00 00:00:00	NULL	NULL
57	20	F	US	L	Laptop	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.76.4 (KHTML, like Gecko) Version/7.0.4 Safari/537.76.4	130.91.121.171	NULL	NULL	2014-07-02 19:01:39	0000-00-00 00:00:00	NULL	NULL
58	20	F	US	L	Laptop	Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:23.0) Gecko/20100101 Firefox/23.0	130.91.121.171	NULL	NULL	2014-07-02 19:02:03	0000-00-00 00:00:00	NULL	NULL
59	20	F	US	L	Laptop	Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:23.0) Gecko/20100101 Firefox/23.0	130.91.121.171	NULL	NULL	2014-07-02 19:02:49	0000-00-00 00:00:00	NULL	NULL
60	18	Male	United States	Right-handed	Laptop	Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:23.0) Gecko/20100101 Firefox/23.0	130.91.121.171	24	NULL	2014-07-02 19:04:05	0000-00-00 00:00:00	NULL	NULL
61	18	Male	United States	Right-handed	Laptop	Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:23.0) Gecko/20100101 Firefox/23.0	130.91.121.171	24	NULL	2014-07-02 19:15:10	0000-00-00 00:00:00	NULL	NULL
62	18	Male	Afghanistan	Right-handed	Laptop	Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:23.0) Gecko/20100101 Firefox/23.0	130.91.121.171	24	NULL	2014-07-02 19:17:34	0000-00-00 00:00:00	NULL	NULL
63	26	Female	Tanzania, United Republic	Right-handed	Laptop	Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36	76.94.237.150	24	NULL	2014-07-02 19:21:45	0000-00-00 00:00:00	NULL	NULL
64	26	Female	Tanzania, United Republic	Right-handed	Laptop	Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36	76.94.237.150	24	NULL	2014-07-02 19:23:47	0000-00-00 00:00:00	7/8	NULL
65	22	Female	Albania	Ambidextrous	Laptop	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36	128.91.21.51	24	NULL	2014-07-02 19:30:21	0000-00-00 00:00:00	NULL	NULL
66	20	Female	United States	Left-handed	Laptop	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36	128.91.21.51	24	NULL	2014-07-02 19:31:38	0000-00-00 00:00:00	NULL	NULL
67	37	Female	United States	Right-handed	LCD Desktop	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36	74.111.13.148	24	NULL	2014-07-02 19:50:06	0000-00-00 00:00:00	NULL	NULL
68	33	Male	United States	Right-handed	LCD Desktop	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36	71.229.240.166	24	NULL	2014-07-02 19:50:30	0000-00-00 00:00:00	NULL	NULL
69	26	Female	Tanzania, United Republic	Right-handed	Laptop	Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36	76.94.237.150	24	1300407236	2014-07-02 19:50:42	2014-07-02 20:28:24	8/8	NULL
70	33	Male	United States	Right-handed	LCD Desktop	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36	71.229.240.166	24	NULL	2014-07-02 19:51:55	0000-00-00 00:00:00	NULL	NULL
71	49	Female	United States	Left-handed	LCD Desktop	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36	67.190.251.95	24	NULL	2014-07-02 20:00:51	0000-00-00 00:00:00	NULL	NULL
72	49	Female	United States	Left-handed	LCD Desktop	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36	67.190.251.95	24	NULL	2014-07-02 20:11:19	0000-00-00 00:00:00	NULL	NULL
73	29	Male	United States	Right-handed	LCD Desktop	Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.103 Safari/537.36	184.58.151.77	24	NULL	2014-07-02 20:20:36	0000-00-00 00:00:00	NULL	NULL
74	29	Male	United States	Right-handed	Laptop	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36	68.61.250.152	24	NULL	2014-07-02 20:54:14	0000-00-00 00:00:00	NULL	NULL
75	49	Female	United States	Left-handed	LCD Desktop	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36	67.190.251.95	24	NULL	2014-07-02 20:59:06	0000-00-00 00:00:00	NULL	NULL
76	49	Female	United States	Left-handed	LCD Desktop	Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko	67.190.251.95	24	NULL	2014-07-02 21:06:35	0000-00-00 00:00:00	NULL	NULL
77	38	Male	United States	Right-handed	Laptop	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4	71.201.24.20	24	NULL	2014-07-02 21:26:11	0000-00-00 00:00:00	NULL	NULL
78	38	Male	United States	Right-handed	Laptop	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36	71.201.24.20	24	NULL	2014-07-02 21:28:53	0000-00-00 00:00:00	NULL	NULL
79	27	Male	United States	Right-handed	Laptop	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36	71.82.50.233	24	NULL	2014-07-02 21:45:38	0000-00-00 00:00:00	NULL	NULL
80	34	Female	United States	Right-handed	Laptop	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36	75.162.207.97	24	NULL	2014-07-02 21:49:54	0000-00-00 00:00:00	NULL	NULL
81	34	Female	United States	Right-handed	LCD Desktop	Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0	75.162.207.97	24	NULL	2014-07-02 21:53:14	0000-00-00 00:00:00	NULL	NULL
82	34	Female	United States	Right-handed	LCD Desktop	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36	75.162.207.97	24	NULL	2014-07-02 21:54:52	0000-00-00 00:00:00	NULL	NULL
83	27	Male	United States	Right-handed	Laptop	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36	71.82.50.233	24	NULL	2014-07-02 22:58:01	0000-00-00 00:00:00	NULL	NULL
87	32	Female	India	Right-handed	LCD Desktop	Mozilla/5.0 (Windows NT 5.1; rv:30.0) Gecko/20100101 Firefox/30.0	117.216.0.35	24	NULL	2014-07-03 12:34:49	0000-00-00 00:00:00	NULL	NULL
88	37	Female	United States	Right-handed	Laptop	Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36	69.31.145.109	24	NULL	2014-07-03 12:41:33	0000-00-00 00:00:00	NULL	NULL
86	42	Female	India	Right-handed	LCD Desktop	Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36	122.164.112.189	24	NULL	2014-07-03 12:29:28	0000-00-00 00:00:00	NULL	NULL
89	42	Female	India	Right-handed	LCD Desktop	Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36	122.164.112.189	24	NULL	2014-07-03 12:45:40	0000-00-00 00:00:00	NULL	NULL
90	27	Female	United States	Right-handed	Laptop	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36	69.120.132.153	24	NULL	2014-07-03 13:16:23	0000-00-00 00:00:00	NULL	NULL
91	27	Female	United States	Right-handed	Laptop	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36	69.120.132.153	24	NULL	2014-07-03 13:19:53	0000-00-00 00:00:00	NULL	NULL
92	32	Female	India	Right-handed	LCD Desktop	Mozilla/5.0 (Windows NT 5.1; rv:30.0) Gecko/20100101 Firefox/30.0	117.216.0.35	24	NULL	2014-07-03 13:25:12	0000-00-00 00:00:00	NULL	NULL
93	58	Male	United States	Right-handed	CRT Desktop	Mozilla/5.0 (Windows NT 5.1; rv:27.0) Gecko/20100101 Firefox/27.0	70.209.130.208	24	NULL	2014-07-03 13:37:07	0000-00-00 00:00:00	NULL	NULL
94	58	Male	United States	Right-handed	CRT Desktop	Mozilla/5.0 (Windows NT 5.1; rv:27.0) Gecko/20100101 Firefox/27.0	70.209.130.208	24	NULL	2014-07-03 13:41:30	0000-00-00 00:00:00	NULL	NULL
95	42	Female	India	Right-handed	LCD Desktop	Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36	122.164.112.189	24	NULL	2014-07-03 13:47:40	0000-00-00 00:00:00	NULL	NULL
96	58	Male	United States	Right-handed	CRT Desktop	Mozilla/5.0 (Windows NT 5.1; rv:27.0) Gecko/20100101 Firefox/27.0	70.209.130.208	24	NULL	2014-07-03 14:53:11	0000-00-00 00:00:00	NULL	NULL
104	23	Other	Afghanistan	Right-handed	Laptop	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36	130.91.121.46	24	NULL	2014-07-07 10:16:02	0000-00-00 00:00:00	0/8	NULL
105	22	Female	Aruba	Left-handed	Laptop	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36	130.91.121.46	24	NULL	2014-07-07 10:17:16	0000-00-00 00:00:00	0/8	NULL
100	31	Female	United States	Right-handed	LCD Desktop	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.110 Safari/537.36 CoolNovo/2.0.9.20	75.173.249.62	32	1212601771	2014-07-03 17:12:04	2014-07-03 18:15:35	NULL	NULL
103	22	Other	Afghanistan	Left-handed	Laptop	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36	130.91.121.46	24	NULL	2014-07-07 10:13:35	0000-00-00 00:00:00	0/8	NULL
106	21	Female	Albania	Right-handed	Laptop	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36	130.91.121.46	24	NULL	2014-07-07 10:42:19	0000-00-00 00:00:00	NULL	NULL
107	22	Female	Åland Islands	Left-handed	Laptop	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36	130.91.121.46	24	NULL	2014-07-07 10:57:23	0000-00-00 00:00:00	NULL	NULL
108	22	Other	Afghanistan	Left-handed	Laptop	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36	130.91.121.46	24	NULL	2014-07-07 10:58:01	0000-00-00 00:00:00	NULL	NULL
109	18	Male	United States	Right-handed	Laptop	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36	165.123.243.167	24	NULL	2014-07-07 17:43:37	0000-00-00 00:00:00	0/8	NULL
110	21	Female	Åland Islands	Left-handed	Laptop	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36	74.103.152.69	24	NULL	2014-07-07 19:18:15	0000-00-00 00:00:00	0/8	NULL
